01.11.2019 16:27:49 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 182 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Невозможно соединиться с удаленным сервером INNER EXCEPTION: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:25975
06.11.2019 16:24:35 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 182 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Невозможно соединиться с удаленным сервером INNER EXCEPTION: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:44373
06.11.2019 20:19:06 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 179 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Невозможно соединиться с удаленным сервером INNER EXCEPTION: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:44373
08.11.2019 11:11:22 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 179 | Отменена задача.
08.11.2019 12:25:24 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 179 | Отменена задача.
08.11.2019 12:56:14 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 179 | Отменена задача.
08.11.2019 13:05:52 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 179 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Базовое соединение закрыто: Непредвиденная ошибка при приеме. INNER EXCEPTION: Не удается прочитать данные из транспортного соединения: Удаленный хост принудительно разорвал существующее подключение. INNER EXCEPTION: Удаленный хост принудительно разорвал существующее подключение
08.11.2019 13:08:44 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 179 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Невозможно соединиться с удаленным сервером INNER EXCEPTION: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:44373
08.11.2019 13:27:50 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 179 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Базовое соединение закрыто: Непредвиденная ошибка при приеме. INNER EXCEPTION: Не удается прочитать данные из транспортного соединения: Удаленный хост принудительно разорвал существующее подключение. INNER EXCEPTION: Удаленный хост принудительно разорвал существующее подключение
08.11.2019 13:30:46 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 179 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Базовое соединение закрыто: Непредвиденная ошибка при приеме. INNER EXCEPTION: Не удается прочитать данные из транспортного соединения: Удаленный хост принудительно разорвал существующее подключение. INNER EXCEPTION: Удаленный хост принудительно разорвал существующее подключение
08.11.2019 13:35:37 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 179 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Базовое соединение закрыто: Непредвиденная ошибка при приеме. INNER EXCEPTION: Не удается прочитать данные из транспортного соединения: Удаленный хост принудительно разорвал существующее подключение. INNER EXCEPTION: Удаленный хост принудительно разорвал существующее подключение
08.11.2019 13:48:18 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 179 | Отменена задача.
08.11.2019 14:02:17 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 179 | Отменена задача.
08.11.2019 14:15:03 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 179 | Отменена задача.
08.11.2019 14:32:09 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 179 | Отменена задача.
08.11.2019 17:56:07 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 179 | Строка не распознана как действительное логическое значение.
08.11.2019 17:56:48 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 179 | Строка не распознана как действительное логическое значение.
08.11.2019 17:59:05 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 179 | Строка не распознана как действительное логическое значение.
08.11.2019 18:17:50 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 179 | Не удается динамически вызвать метод "WriteLine", так как у него есть условный атрибут
08.11.2019 21:39:10 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 179 | Операция является недопустимой из-за текущего состояния объекта.
08.11.2019 21:39:22 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 179 | Операция является недопустимой из-за текущего состояния объекта.
08.11.2019 21:39:30 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 179 | Операция является недопустимой из-за текущего состояния объекта.
08.11.2019 21:39:31 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 179 | Операция является недопустимой из-за текущего состояния объекта.
08.11.2019 21:39:32 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 179 | Операция является недопустимой из-за текущего состояния объекта.
09.11.2019 19:22:12 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.ClimateController | 193 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Базовое соединение закрыто: Непредвиденная ошибка при приеме. INNER EXCEPTION: Не удается прочитать данные из транспортного соединения: Удаленный хост принудительно разорвал существующее подключение. INNER EXCEPTION: Удаленный хост принудительно разорвал существующее подключение
09.11.2019 20:12:22 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.ClimateController | 193 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Невозможно соединиться с удаленным сервером INNER EXCEPTION: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:44373
09.11.2019 22:00:42 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.ClimateController | 193 | Входная строка имела неверный формат.
