24.10.2019 09:04:25 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 101 | An error occurred while sending the request. INNER EXCEPTION: Unable to connect to the remote server INNER EXCEPTION: No connection could be made because the target machine actively refused it 127.0.0.1:25975
29.10.2019 10:57:54 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 162 | An error occurred while sending the request. INNER EXCEPTION: Unable to connect to the remote server INNER EXCEPTION: No connection could be made because the target machine actively refused it 127.0.0.1:25975
29.10.2019 10:58:37 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 162 | An error occurred while sending the request. INNER EXCEPTION: Unable to connect to the remote server INNER EXCEPTION: No connection could be made because the target machine actively refused it 127.0.0.1:25975
29.10.2019 13:12:02 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.ClimateController | 197 | An error occurred while sending the request. INNER EXCEPTION: Unable to connect to the remote server INNER EXCEPTION: No connection could be made because the target machine actively refused it 127.0.0.1:25975
29.10.2019 13:13:06 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.ClimateController | 197 | An error occurred while sending the request. INNER EXCEPTION: Unable to connect to the remote server INNER EXCEPTION: No connection could be made because the target machine actively refused it 127.0.0.1:25975
29.10.2019 13:30:01 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.ClimateController | 197 | An error occurred while sending the request. INNER EXCEPTION: Unable to connect to the remote server INNER EXCEPTION: No connection could be made because the target machine actively refused it 127.0.0.1:25975
01.11.2019 16:21:08 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.ClimateController | 193 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Невозможно соединиться с удаленным сервером INNER EXCEPTION: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:25975
01.11.2019 16:21:13 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.ClimateController | 193 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Невозможно соединиться с удаленным сервером INNER EXCEPTION: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:25975
01.11.2019 16:21:37 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.ClimateController | 193 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Невозможно соединиться с удаленным сервером INNER EXCEPTION: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:25975
01.11.2019 16:21:41 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.ClimateController | 193 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Невозможно соединиться с удаленным сервером INNER EXCEPTION: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:25975
01.11.2019 16:21:46 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.ClimateController | 193 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Невозможно соединиться с удаленным сервером INNER EXCEPTION: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:25975
01.11.2019 16:21:54 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.ClimateController | 193 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Невозможно соединиться с удаленным сервером INNER EXCEPTION: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:25975
01.11.2019 16:22:07 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.ClimateController | 193 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Невозможно соединиться с удаленным сервером INNER EXCEPTION: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:25975
01.11.2019 16:22:12 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.ClimateController | 193 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Невозможно соединиться с удаленным сервером INNER EXCEPTION: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:25975
01.11.2019 16:24:09 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.ClimateController | 193 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Невозможно соединиться с удаленным сервером INNER EXCEPTION: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:25975
01.11.2019 16:24:15 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.ClimateController | 193 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Невозможно соединиться с удаленным сервером INNER EXCEPTION: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:25975
01.11.2019 16:24:33 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.ClimateController | 193 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Невозможно соединиться с удаленным сервером INNER EXCEPTION: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:25975
01.11.2019 16:24:55 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 182 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Невозможно соединиться с удаленным сервером INNER EXCEPTION: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:25975
01.11.2019 16:25:19 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 182 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Невозможно соединиться с удаленным сервером INNER EXCEPTION: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:25975
01.11.2019 16:25:23 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 182 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Невозможно соединиться с удаленным сервером INNER EXCEPTION: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:25975
01.11.2019 16:27:32 | SDmS.Mvc.dll | OnException | SDmS.Mvc.Areas.Dashboard.Controllers.LightsController | 182 | Произошла ошибка при отправке запроса. INNER EXCEPTION: Невозможно соединиться с удаленным сервером INNER EXCEPTION: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:25975
